age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
25,4,226802,1,7,4,7,3,2,1,0,0,40,39,0
38,4,89814,11,9,2,5,0,4,1,0,0,50,39,0
28,2,336951,7,12,2,11,0,4,1,0,0,40,39,1
44,4,160323,15,10,2,7,0,2,1,7688,0,40,39,1
18,0,103497,15,10,4,0,3,4,0,0,0,30,39,0
34,4,198693,0,6,4,8,1,4,1,0,0,30,39,0
29,0,227026,11,9,4,0,4,2,1,0,0,40,39,0
63,6,104626,14,15,2,10,0,4,1,3103,0,32,39,1
24,4,369667,15,10,4,8,4,4,0,0,0,40,39,0
55,4,104996,5,4,2,3,0,4,1,0,0,10,39,0
65,4,184454,11,9,2,7,0,4,1,6418,0,40,39,1
36,1,212465,9,13,2,1,0,4,1,0,0,40,39,0
26,4,82091,11,9,4,1,1,4,0,0,0,39,39,0
58,0,299831,11,9,2,0,0,4,1,0,0,35,39,0
48,4,279724,11,9,2,7,0,4,1,3103,0,48,39,1
43,4,346189,12,14,2,4,0,4,1,0,0,50,39,1
20,7,444554,15,10,4,8,3,4,1,0,0,25,39,0
43,4,128354,11,9,2,1,5,4,0,0,0,30,39,0
37,4,60548,11,9,6,7,4,4,0,0,0,20,39,0
40,4,85019,10,16,2,10,0,1,1,0,0,45,0,1
34,4,107914,9,13,2,13,0,4,1,0,0,47,39,1
34,4,238588,15,10,4,8,3,2,0,0,0,35,39,0
72,0,132015,5,4,0,0,1,4,0,0,0,6,39,0
25,4,220931,9,13,4,10,1,4,1,0,0,43,29,0
25,4,205947,9,13,2,10,0,4,1,0,0,40,39,0
45,6,432824,11,9,2,3,0,4,1,7298,0,90,39,1
22,4,236427,11,9,4,1,3,4,1,0,0,20,39,0
23,4,134446,11,9,5,7,4,2,1,0,0,54,39,0
54,4,99516,11,9,2,3,0,4,1,0,0,35,39,0
32,6,109282,15,10,4,10,1,4,1,0,0,60,39,0
46,7,106444,15,10,2,4,0,2,1,7688,0,38,39,1
56,6,186651,1,7,6,8,4,4,0,0,0,50,39,0
24,6,188274,9,13,4,12,1,4,1,0,0,50,39,0
23,2,258120,15,10,2,11,0,4,1,0,0,40,39,0
26,4,43311,11,9,0,4,4,4,0,0,0,40,39,0
65,0,191846,11,9,2,0,0,4,1,0,0,40,39,0
36,2,403681,9,13,2,10,0,4,1,0,0,40,39,1
22,4,248446,4,3,4,9,1,4,1,0,0,50,13,0
17,4,269430,0,6,4,7,1,4,1,0,0,40,39,0
20,4,257509,11,9,4,3,3,4,1,0,0,40,39,0
65,4,136384,12,14,2,10,0,4,1,0,0,50,39,1
44,5,120277,8,11,2,12,0,4,1,0,0,45,39,1
36,4,465326,11,9,2,5,0,4,1,0,0,40,39,0
29,4,103634,1,7,2,8,0,4,1,0,0,40,39,0
20,7,138371,15,10,4,5,3,4,1,0,0,32,39,0
28,4,242832,8,11,2,10,5,4,0,0,0,36,39,1
39,4,290208,5,4,2,3,0,4,1,0,0,40,26,0
54,4,186272,15,10,2,14,0,4,1,3908,0,50,39,0
52,4,201062,1,7,5,9,1,2,0,0,0,18,39,0
56,5,131916,11,9,6,4,1,4,0,0,0,50,39,0
18,4,54440,15,10,4,8,3,4,1,0,0,20,39,0
39,4,280215,11,9,0,6,3,2,1,0,0,40,39,0
21,4,214399,15,10,4,8,3,4,0,0,1721,24,39,0
22,4,54164,11,9,4,8,1,4,1,14084,0,60,39,1
38,4,219446,6,5,3,4,1,4,1,0,0,54,26,0
21,4,110677,15,10,4,1,3,4,0,0,0,40,39,0
63,4,145985,11,9,2,3,0,4,1,0,0,40,39,0
34,2,382078,9,13,2,4,0,4,1,3103,0,50,39,1
42,5,170721,11,9,2,4,0,4,1,5178,0,50,39,1
33,4,269705,11,9,2,6,0,4,1,0,0,40,39,0
30,4,101135,9,13,4,4,1,4,0,0,0,50,39,0
39,4,118429,15,10,0,12,1,4,1,0,0,40,39,0
26,4,31208,12,14,4,4,1,4,0,0,0,40,39,0
33,4,281384,11,9,4,7,3,4,0,0,0,40,39,0
47,2,171807,11,9,0,1,1,4,0,0,0,40,39,0
41,4,109912,9,13,4,8,1,4,0,0,0,40,0,0
41,5,445382,7,12,2,3,0,4,1,15024,0,60,39,1
19,4,105460,15,10,4,8,3,4,1,0,0,20,39,0
46,4,170338,11,9,5,14,1,4,1,0,0,40,39,0
43,4,102606,11,9,2,12,0,4,1,0,0,48,39,0
55,4,323887,15,10,2,4,0,4,1,15024,0,45,39,1
46,4,175622,8,11,2,13,0,4,1,0,0,40,39,0
30,4,229636,11,9,2,7,0,4,1,0,0,40,26,0
21,4,388946,15,10,5,6,1,4,0,0,0,40,39,0
46,4,269034,15,10,2,3,0,3,1,0,0,40,6,0
17,0,165361,0,6,4,0,3,4,1,0,0,40,39,0
